timestamp,event,TCP_pose,joint_angles,TCP_force
20.34400000000005,End D3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.3599999999999,Start E3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.695999999999913,End E3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20.71199999999999,Start F#3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21.039999999999964,End F#3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21.05600000000004,Start D3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22.392000000000053,End D3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22.4079999999999,Start transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22.536000000000058,End transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22.551999999999907,Start B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.216000000000122,End B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.23199999999997,Start B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.895999999999958,End B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23.912000000000035,Start A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.576000000000022,End A3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.5920000000001,Start transition on A-D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.688000000000102,End transition on A-D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
24.71199999999999,Start D3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.384000000000015,End D3 on D,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.440000000000055,Start transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.58400000000006,End transition on D-A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25.59999999999991,Start B3 on A,"[0.01180279604132832, -0.9949267557417856, 0.23946979491737586, 0.3975173257798288, 3.086279533283362, 0.4025972091211499]","[-1.35549551280788, -2.9934165264768944, 0.009261056263047743, -1.9698761781005167, 1.6602267511326534, 0.46062810527201303]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
