event,string,bow_dir,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,from,to,q0,q1,q2,q3,q4,q5,timestamp
note,A,down,0.35,0.412,0.256,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0257756586316567,-0.10277933858926919,1.702746765650291,-3.9093511174706714,0.6675433034737881,-0.41862117646239216,32.75
note,A,down,0.34479166666666666,0.40712499999999996,0.2565,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0330807788494565,-0.10595708342769156,1.7104733238981178,-3.9110315318687356,0.6635808066722095,-0.42825435067644024,32.76
note,A,down,0.3395833333333333,0.40225,0.257,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0403073471450766,-0.10881936299568506,1.7173083228643518,-3.9122684507511494,0.6599168525564276,-0.4379924052111459,32.77
note,A,down,0.334375,0.397375,0.2575,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.047965916255198,-0.111581353997671,1.7253564412887845,-3.91322111664726,0.655755404861353,-0.44816579631493036,32.78
note,A,down,0.32916666666666666,0.39249999999999996,0.258,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0556244853653194,-0.1143434404216988,1.7334044401852267,-3.914173528972464,0.6515932590929676,-0.45833904868813136,32.79
note,A,down,0.3239583333333333,0.387625,0.2585,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.063282950202978,-0.11710533600164291,1.741452439081669,-3.9151259412976684,0.6474315787067892,-0.4685124397919158,32.8
note,A,down,0.31875,0.38275,0.259,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0709414150406364,-0.11986713615954508,1.7495003782141159,-3.9160783536228725,0.6432698983206113,-0.4786858308956998,32.81
note,A,down,0.3135416666666666,0.37787499999999996,0.2595,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0785999146357823,-0.12262912716153107,1.7575484368745535,-3.9170307659480765,0.6391079852433297,-0.4888592219994843,32.82
note,A,down,0.30833333333333335,0.373,0.26,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0862584316096724,-0.12539102274147512,1.7655961668330171,-3.9179834318441875,0.6349458394749443,-0.4990324743726857,32.83
note,A,down,0.303125,0.36812500000000004,0.2605,0.0,-0.06997357793639414,-2.3892403072112747,,,-2.0939168964473307,-0.12815310916550293,1.7736441956114568,-3.9189358441693916,0.6307843917798697,-0.5092058654764697,32.84
