timestamp_robot,time_elapsed_sec,event_flag,event_label,current_event_type,current_note_number,current_note_name,current_string,remaining_duration_sec,TCP_pose_x,TCP_pose_y,TCP_pose_z,TCP_pose_rx,TCP_pose_ry,TCP_pose_rz,q_base,q_shoulder,q_elbow,q_wrist1,q_wrist2,q_wrist3,TCP_force_x,TCP_force_y,TCP_force_z,TCP_force_rx,TCP_force_ry,TCP_force_rz,current_note_event
9446.336,0.92,3,Playing d_bow...,Note,57,A3,A,0.578958,0.350271,0.688585,0.163706,-1.643684,-2.12953,1.097049,-2.309498,-0.501061,1.005815,-1.279654,-1.405902,-2.632462,1.071275,-2.357876,-0.213318,0.188197,0.157219,0.162754,A
9446.4,0.984,3,Playing d_bow...,Note,57,A3,A,0.514958,0.349165,0.697865,0.159593,-1.638001,-2.144479,1.114961,-2.30058,-0.475724,0.962233,-1.254644,-1.417446,-2.629439,1.240407,-0.950754,-1.633649,0.183599,0.203657,0.169216,A
9446.424,1.008,3,Playing d_bow...,Note,57,A3,A,0.490958,0.348629,0.70155,0.15789,-1.635624,-2.150609,1.122127,-2.296986,-0.465404,0.944522,-1.244557,-1.422139,-2.628257,1.45169,-1.530803,-1.140447,0.16677,0.171437,0.15193,A
9446.432,1.016,3,Playing d_bow...,Note,57,A3,A,0.482958,0.348425,0.702828,0.157277,-1.634821,-2.152672,1.124567,-2.295729,-0.461793,0.938379,-1.241103,-1.423696,-2.627818,1.457448,-2.204355,-0.693706,0.178026,0.161489,0.145192,A
9446.44,1.024,3,Playing d_bow...,Note,57,A3,A,0.474958,0.348203,0.704109,0.1567,-1.633986,-2.154852,1.127067,-2.294455,-0.458215,0.932183,-1.237555,-1.425351,-2.62739,1.36057,-1.229005,-1.117124,0.17051,0.172196,0.153704,A
9446.504,1.088,3,Playing d_bow...,Note,57,A3,A,0.410958,0.346208,0.714706,0.151525,-1.626844,-2.17298,1.148635,-2.283879,-0.427446,0.879391,-1.207273,-1.439399,-2.623769,0.618695,-1.804318,-1.13142,0.152797,0.177134,0.160406,A
9446.512,1.096,3,Playing d_bow...,Note,57,A3,A,0.402958,0.345888,0.716096,0.150839,-1.625837,-2.175429,1.151449,-2.282449,-0.423355,0.872356,-1.203258,-1.441243,-2.623305,0.394146,-2.378383,-0.254791,0.158352,0.150602,0.137971,A
9446.52,1.104,3,Playing d_bow...,Note,57,A3,A,0.894958,0.345599,0.717464,0.150173,-1.624935,-2.177897,1.154214,-2.281073,-0.419282,0.865288,-1.199246,-1.443154,-2.622807,1.141528,-1.22616,-0.984645,0.14013,0.169524,0.139841,A
9446.528,1.112,3,Playing d_bow...,Note,57,A3,A,0.886958,0.34524,0.718855,0.149465,-1.623877,-2.180396,1.157071,-2.279609,-0.415145,0.85821,-1.195211,-1.445018,-2.622347,1.391379,-0.452857,-1.114328,0.1503,0.176894,0.152299,A
9446.536,1.12,3,Playing d_bow...,Note,57,A3,A,0.878958,0.344948,0.720229,0.148763,-1.622896,-2.182826,1.160163,-2.278233,-0.410947,0.850946,-1.190908,-1.447009,-2.621852,0.889349,-1.977304,-0.903167,0.161167,0.163186,0.142764,A
9446.544,1.128,3,Playing d_bow...,Note,57,A3,A,0.870958,0.344598,0.721664,0.148045,-1.621946,-2.185428,1.162929,-2.276756,-0.406626,0.843487,-1.186783,-1.448941,-2.621315,2.069101,-1.778824,-0.844465,0.166457,0.163831,0.148513,A
9446.552,1.136,3,Playing d_bow...,Note,57,A3,A,0.862958,0.344189,0.723098,0.147324,-1.620846,-2.188067,1.165897,-2.275222,-0.402328,0.836073,-1.182542,-1.450904,-2.620818,2.066416,-0.332475,-1.54498,0.14862,0.186106,0.162753,A
9446.56,1.144,3,Playing d_bow...,Note,57,A3,A,0.854958,0.343758,0.724561,0.146572,-1.619778,-2.190686,1.168821,-2.273649,-0.397929,0.828531,-1.178302,-1.452813,-2.620272,1.409985,0.537774,-1.462378,0.14194,0.190081,0.168113,A
9446.568,1.152,3,Playing d_bow...,Note,57,A3,A,0.846958,0.343305,0.726004,0.145749,-1.618584,-2.193264,1.172248,-2.272075,-0.393459,0.820993,-1.173808,-1.454861,-2.61974,0.887598,0.106475,-1.373621,0.147994,0.195352,0.155886,A
9446.576,1.16,3,Playing d_bow...,Note,57,A3,A,0.838958,0.342821,0.727486,0.14495,-1.617373,-2.196038,1.175484,-2.270441,-0.388914,0.813235,-1.16933,-1.456943,-2.619213,0.406059,-0.506366,-1.873121,0.140385,0.198329,0.169699,A
9446.584,1.168,3,Playing d_bow...,Note,57,A3,A,0.830958,0.34234,0.728966,0.144215,-1.616228,-2.198955,1.178398,-2.268815,-0.384421,0.805421,-1.164983,-1.459033,-2.618691,1.868592,-0.072835,-1.528946,0.13505,0.17953,0.15953,A
9446.592,1.176,3,Playing d_bow...,Note,57,A3,A,0.822958,0.341858,0.730443,0.143513,-1.615071,-2.201714,1.181531,-2.267197,-0.379949,0.797542,-1.160377,-1.461087,-2.61814,0.833212,-0.890239,-0.935686,0.132377,0.182774,0.178991,A
9446.6,1.184,3,Playing d_bow...,Note,57,A3,A,0.814958,0.341375,0.731914,0.142692,-1.613879,-2.204652,1.184579,-2.265583,-0.375277,0.789569,-1.155965,-1.463246,-2.617631,1.613993,0.717428,-1.402436,0.126871,0.181512,0.157688,A
